"text","label","platform","likes","retweets","followers"
"I absolutely love this product! It's amazing and works perfectly.","positive","Twitter","120","45","1200"
"This is the worst service I have ever experienced. Completely disappointed.","negative","Facebook","5","2","300"
"The package arrived today. Standard delivery nothing special.","neutral","Instagram","10","1","500"
"Just had the most wonderful day at the beach! Sun sand and good vibes","positive","Twitter","340","89","5000"
"Terrible customer support. They ignored my complaint for two weeks.","negative","Twitter","56","23","800"
"Meeting rescheduled to 3 pm. Please confirm attendance.","neutral","Facebook","2","0","150"
"Wow I am blown away by this new update so many great features!","positive","Instagram","210","67","3200"
"Can't believe they cancelled the event. Wasted my time and money.","negative","Twitter","88","34","1100"
"Weather today is cloudy with a chance of rain in the afternoon.","neutral","Facebook","4","1","200"
"Best birthday surprise ever! My friends are the absolute best","positive","Twitter","560","120","7800"
"This app keeps crashing every time I open it. Extremely frustrating.","negative","Instagram","72","28","900"
"The report has been submitted. Please review at your convenience.","neutral","Facebook","1","0","80"
"Feeling grateful for all the love and support from my amazing community.","positive","Twitter","430","95","6500"
"The delivery was late the item was damaged and support refused to help.","negative","Facebook","38","15","400"
"Attended the seminar today. Covered the basics nothing groundbreaking.","neutral","Twitter","12","3","250"
"This is hands down the best coffee shop in the city! Must visit!","positive","Instagram","290","78","4200"
"Absolutely disgusted by the lack of hygiene at this restaurant.","negative","Twitter","64","31","700"
"The document was received and is under review. We will update you shortly.","neutral","Facebook","0","0","50"
"Passed my exam with distinction! Hard work really does pay off","positive","Twitter","820","200","9500"
"Lost my wallet and spent the whole day trying to sort it out. Worst day.","negative","Instagram","15","5","350"
"Just checking in. Updates to follow once we have more information.","neutral","Twitter","3","1","100"
"Incredible sunset tonight. Nature is truly breathtaking","positive","Instagram","680","145","8200"
"This keyboard stopped working after only one week. Complete waste of money.","negative","Facebook","42","18","450"
"The quarterly figures are attached for your reference.","neutral","Twitter","2","0","60"
"Finally finished the project after months of hard work! Super proud","positive","Facebook","370","88","5100"
"Customer lied about the product condition. Absolutely not as described.","negative","Twitter","55","22","620"
"The software update is now available for download.","neutral","Instagram","8","2","180"
"Surprised my mum with breakfast in bed this morning. Her smile made my day!","positive","Twitter","490","102","7100"
"Flight delayed by 4 hours. Airport is packed and there is no information.","negative","Facebook","31","12","380"
"Filed the tax return today. Should get the refund within 3 weeks.","neutral","Twitter","5","1","120"
"What a fantastic performance by the orchestra tonight! Absolutely mesmerised.","positive","Instagram","250","62","3800"
"The fridge broke down after 6 months. Quality is clearly going downhill.","negative","Twitter","70","29","810"
"The meeting notes have been circulated to all attendees.","neutral","Facebook","0","0","40"
"Reunited with my best friend after 3 years. Tears of joy all round!","positive","Twitter","720","165","9200"
"Spent 2 hours on hold only to be disconnected. Appalling service.","negative","Instagram","48","20","530"
"Reminder: Library books are due back by Friday.","neutral","Twitter","1","0","30"
"My team won the championship! We trained so hard for this moment","positive","Facebook","910","230","12000"
"Scammed online. Lost money and the seller has vanished. Avoid at all costs.","negative","Twitter","95","40","1050"
"The bus timetable has been updated on the website.","neutral","Instagram","2","0","70"
"Adopted a puppy today! Our family is now complete","positive","Twitter","1200","320","15000"
"Neighbours playing loud music again at midnight. Nobody cares.","negative","Facebook","28","10","300"
"The office will be closed on Monday for the public holiday.","neutral","Twitter","6","2","140"
"Just finished reading the most inspiring book. Highly recommend it!","positive","Instagram","310","80","4600"
"Waited 45 minutes for cold food and a rude waiter. Never returning.","negative","Twitter","62","26","730"
"Please send the updated invoice to the accounts department.","neutral","Facebook","0","0","35"
"Celebrated our 10th anniversary today! A decade of love and laughter","positive","Twitter","850","195","11000"
"This laptop overheats within minutes. A serious fire hazard.","negative","Instagram","55","23","600"
"The results will be announced next week.","neutral","Twitter","4","1","90"
"Got a standing ovation at my first public speech! Over the moon","positive","Facebook","540","115","7500"
"Gym equipment broken again. Management never fixes anything.","negative","Twitter","44","17","480"
"The new policy will take effect from the first of next month.","neutral","Instagram","3","0","60"
"Surprised my team with lunch today. Small gestures go a long way","positive","Twitter","380","90","5400"
"Can't sleep because of the constant construction noise outside.","negative","Facebook","22","8","270"
"The invoice total is 450 dollars. Payment is due within 30 days.","neutral","Twitter","1","0","25"
"Volunteered at the shelter today. So rewarding to give back to the community.","positive","Instagram","430","98","6200"
"My internet has been down for 3 days and the provider is ignoring me.","negative","Twitter","80","33","870"
"The training session runs from 9 am to 12 pm on Thursday.","neutral","Facebook","2","0","55"
"Nailed the job interview! Fingers crossed for good news soon","positive","Twitter","670","140","8800"
"Ripped off at this tourist trap restaurant. Tiny portions huge prices.","negative","Instagram","40","16","420"
"The system will undergo maintenance from 2 am to 4 am on Saturday.","neutral","Twitter","5","1","100"
"Just hit 10k followers! Thank you all so much for the support!","positive","Facebook","1100","290","13500"
"Phishing email stole my banking details. Absolute nightmare.","negative","Twitter","75","32","820"
"Please note that the deadline for submissions is Wednesday.","neutral","Instagram","3","0","65"
"Rescued a stray kitten this morning and it already feels like home","positive","Twitter","1050","260","14000"
"This chair broke the first time I sat on it. Cheap rubbish.","negative","Facebook","35","13","360"
"Stock levels have been updated in the inventory system.","neutral","Twitter","0","0","20"
"First solo trip abroad and it was life-changing! 10 out of 10.","positive","Instagram","560","125","8000"
"App charged me twice and refuses to issue a refund. Disgusting.","negative","Twitter","68","28","750"
"The proposal has been reviewed and approved by the board.","neutral","Facebook","1","0","45"
"Just got my dream job offer! Years of effort finally paying off","positive","Twitter","1300","350","17000"
"Neighbour's dog barks non-stop every single night. No sleep.","negative","Instagram","32","11","330"
"The new bus route starts operating from Monday.","neutral","Twitter","4","1","85"
"Finished a 5k charity run today! Proud of every step","positive","Facebook","490","105","7200"
"Product stopped working after a week. The brand refuses to honour the warranty.","negative","Twitter","58","24","640"
"The agenda for tomorrow's meeting has been shared via email.","neutral","Instagram","2","0","50"
"My dissertation was accepted with minor corrections! Relief overload","positive","Twitter","780","170","9800"
"Stranded at the airport with no information and zero staff assistance.","negative","Facebook","50","21","550"
"All staff should report to the main hall at 10 am tomorrow.","neutral","Twitter","3","1","75"
"Surprised my dad with tickets to his favourite team's match. His face!","positive","Instagram","620","135","8500"
"This hotel room smells damp the heating is broken and WiFi does not work.","negative","Twitter","84","36","950"
"A new version of the software is now available for registered users.","neutral","Facebook","5","2","110"
"Won first place at the regional science fair! Hard work pays off","positive","Twitter","940","220","12500"
"Scammer pretending to be a charity collected donations at my door.","negative","Instagram","62","26","700"
"The spreadsheet has been updated with the latest figures.","neutral","Twitter","0","0","15"
"My parents just celebrated their 40th wedding anniversary! Goals","positive","Facebook","1150","300","15500"
"Car broke down on the motorway in the rain. Waiting 3 hours for recovery.","negative","Twitter","48","19","520"
"Campus library will be open extended hours during exam season.","neutral","Instagram","7","2","160"
"Promoted to team leader today after 2 years of hard work! Grateful","positive","Twitter","1020","255","13800"
"Dentist appointment cancelled at the last minute for the third time.","negative","Facebook","26","9","280"
"The updated schedule has been posted on the notice board.","neutral","Twitter","2","0","40"
"My short film won an award at the festival! Speechless and grateful","positive","Instagram","880","210","11500"
"Waited over an hour for a table we had booked weeks in advance.","negative","Twitter","55","23","610"
"The fire drill is scheduled for 11 am on Friday.","neutral","Facebook","1","0","30"
"Just finished my first marathon! Legs are dead but heart is full","positive","Twitter","1400","380","18000"
"Package marked as delivered but never arrived. Support is useless.","negative","Instagram","70","30","780"
"Please ensure all forms are submitted before the end of the week.","neutral","Twitter","2","0","50"
"Baked my first sourdough loaf and it turned out perfectly!","positive","Facebook","410","92","5800"
"Concert cancelled an hour before showtime. No explanation or refund.","negative","Twitter","90","38","1000"
"The updated privacy policy is available on our website.","neutral","Instagram","3","1","70"
